Date,FCXr1,FCXr4,FCXHigh/Low%,FCXVolNorm,DHYr1,XLFr1,SPYr1,GLDr1,RTPr1
10-Mar-06,-0.064239029,-0.035047179,0.146253449,0.319674042,-0.028384279,0.003690037,-0.001320286,0.010579523,-0.029745413
3-Mar-06,0.012861736,-0.131527733,0.076205596,0.240994204,-0.010799136,-0.01124962,-0.005022796,-0.050240036,-0.02208476
24-Feb-06,-0.001510859,-0.160393838,0.090013788,0.244764471,-0.004301075,0.014184397,0.004658023,0.033818098,-0.011221756
17-Feb-06,0.019641826,-0.077204601,0.096631917,0.335885286,-0.010638298,0.015977444,0.017135186,0.002197802,0.020583987
10-Feb-06,-0.157800843,-0.145185185,0.231881227,0.357078346,0.004273504,0.010766308,0.002930229,-0.002998501,-0.039920753
3-Feb-06,-0.020803557,0.044376694,0.06557377,0.251593748,-0.002132196,-0.018340068,-0.017659872,-0.018229167,-0.048135401
27-Jan-06,0.097420704,0.170446097,0.146953405,0.271094557,0.010775862,0.027139208,0.020401683,-0.009643418,0.058802975
20-Jan-06,-0.055473251,0.041190347,0.109768908,0.251596762,-0.010660981,-0.036900369,-0.021059994,0.037217958,0.018506279
13-Jan-06,0.028963415,0.129182156,0.097234612,0.22587697,0.028508772,0.001539883,0.001868577,0.038405797,0.034502709
6-Jan-06,0.09739777,0.07228478,0.111563367,0.239497851,0.048275862,0.025260499,0.03156373,-0.031578947,0.04015537
30-Dec-05,-0.023770641,0.001862197,0.043258427,0.082802719,0,-0.016154085,-0.017750079,0.113426227,-0.002727918
23-Dec-05,0.024349442,0.035318429,0.071428571,0.13958276,-0.02027027,0.006566604,0.003165559,-0.009927798,0.047970269
16-Dec-05,-0.022884126,0.047303874,0.062205467,0.194993028,-0.038961039,0.002507837,0.000237473,0.026604897,0.007952974
9-Dec-05,0.025325885,0.08024328,0.048794167,0.17545756,-0.010706638,-0.006540019,-0.00409933,0.033798577,0.002947806
2-Dec-05,0.008829607,0.068019093,0.083665339,0.194949328,-0.006382979,-0.010477658,-0.00220247,-0.015359741,0.047973832
25-Nov-05,0.036207903,0.078403566,0.045124583,0.103643164,-0.010526316,0.023659306,0,-0.029677082,-0.003801593
18-Nov-05,0.007847754,0.111904762,0.065120968,0.167769349,0.006355932,0.0028472,0.015983377,-0.030053259,0.014819351
11-Nov-05,0.01372315,0.104442037,0.031142568,0.150081342,-0.024793388,0.031994776,0.011069813,-0.001519372,0.04512
4-Nov-05,0.018638574,0.069332199,0.064,0.190993712,0.012552301,0.010557572,0.013512407,0.00752647,0.024455809
28-Oct-05,0.068398268,0.015846882,0.088171577,0.240148832,0.034632035,0.032356948,0.019282137,-0.006337939,0.02493112
21-Oct-05,0.001083424,0.009615385,0.113284804,0.273416692,-0.025316456,0.00997592,0.014136968,-0.003914141,-0.048225136
